RLINEv1_2   
SOURCE FILE: IF2009_Source_INF.txt (1 Sources)
RECEPTOR FILE: IF2009_Receptors_INF.txt (7 Receptors)
SURFACE FILE: IF2009_Case1235.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_IF,
    9,    3,    3,      180.000,        0.000,        1.500,   0.350723E+05, 
    9,    3,    4,       18.000,        0.000,        1.500,   0.130982E+06, 
    9,    3,    4,       36.000,        0.000,        1.500,   0.975742E+05, 
    9,    3,    4,       48.000,        0.000,        1.500,   0.849566E+05, 
    9,    3,    4,       66.000,        0.000,        1.500,   0.709445E+05, 
    9,    3,    4,       90.000,        0.000,        1.500,   0.581272E+05, 
    9,    3,    4,      120.000,        0.000,        1.500,   0.476152E+05, 
    9,    3,    4,      180.000,        0.000,        1.500,   0.354240E+05, 
    9,    3,    5,       18.000,        0.000,        1.500,   0.129463E+06, 
    9,    3,    5,       36.000,        0.000,        1.500,   0.963356E+05, 
    9,    3,    5,       48.000,        0.000,        1.500,   0.839028E+05, 
    9,    3,    5,       66.000,        0.000,        1.500,   0.700519E+05, 
    9,    3,    5,       90.000,        0.000,        1.500,   0.573911E+05, 
    9,    3,    5,      120.000,        0.000,        1.500,   0.469534E+05, 
    9,    3,    5,      180.000,        0.000,        1.500,   0.348423E+05, 
    9,    3,    6,       18.000,        0.000,        1.500,   0.133885E+06, 
    9,    3,    6,       36.000,        0.000,        1.500,   0.995724E+05, 
    9,    3,    6,       48.000,        0.000,        1.500,   0.866399E+05, 
    9,    3,    6,       66.000,        0.000,        1.500,   0.722292E+05, 
    9,    3,    6,       90.000,        0.000,        1.500,   0.590983E+05, 
    9,    3,    6,      120.000,        0.000,        1.500,   0.483591E+05, 
    9,    3,    6,      180.000,        0.000,        1.500,   0.358926E+05, 
    9,    3,    7,       18.000,        0.000,        1.500,   0.124201E+06, 
    9,    3,    7,       36.000,        0.000,        1.500,   0.923884E+05, 
    9,    3,    7,       48.000,        0.000,        1.500,   0.801151E+05, 
    9,    3,    7,       66.000,        0.000,        1.500,   0.665347E+05, 
    9,    3,    7,       90.000,        0.000,        1.500,   0.542775E+05, 
    9,    3,    7,      120.000,        0.000,        1.500,   0.443075E+05, 
    9,    3,    7,      180.000,        0.000,        1.500,   0.328389E+05, 
    9,    3,    8,       18.000,        0.000,        1.500,   0.117516E+06, 
    9,    3,    8,       36.000,        0.000,        1.500,   0.870297E+05, 
    9,    3,    8,       48.000,        0.000,        1.500,   0.749915E+05, 
    9,    3,    8,       66.000,        0.000,        1.500,   0.619931E+05, 
    9,    3,    8,       90.000,        0.000,        1.500,   0.502381E+05, 
    9,    3,    8,      120.000,        0.000,        1.500,   0.408208E+05, 
    9,    3,    8,      180.000,        0.000,        1.500,   0.300769E+05, 
