RLINEv1_2   
SOURCE FILE: CALTRANS99_Source.txt (4 Sources)
RECEPTOR FILE: CALTRANS99_ALLreceptors.txt (7 Receptors)
SURFACE FILE: CALTRANS99_met.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_NB, C_SB,
   82,   34,   18,      128.560,      153.200,        1.000,   0.656186E+05,   0.765042E+05, 
   82,   34,   18,        0.000,        0.000,        1.000,   0.203206E+07,   0.823300E+05, 
   82,   34,   19,     -128.560,     -153.200,        1.000,   0.782071E+05,   0.597451E+05, 
   82,   34,   19,      -64.280,      -76.600,        1.000,   0.229068E+06,   0.173241E+06, 
   82,   34,   19,      -32.140,      -38.300,        1.000,   0.454586E+06,   0.312286E+06, 
   82,   34,   19,       32.140,       38.300,        1.000,   0.166769E+06,   0.360218E+06, 
   82,   34,   19,       64.280,       76.600,        1.000,   0.561806E+05,   0.928034E+05, 
   82,   34,   19,      128.560,      153.200,        1.000,   0.112238E+05,   0.159158E+05, 
   82,   34,   19,        0.000,        0.000,        1.000,   0.241953E+07,   0.790200E+06, 
   82,   39,   16,     -128.560,     -153.200,        1.000,   0.231996E+04,   0.206748E+04, 
   82,   39,   16,      -64.280,      -76.600,        1.000,   0.547464E+04,   0.424057E+04, 
   82,   39,   16,      -32.140,      -38.300,        1.000,   0.114677E+05,   0.752826E+04, 
   82,   39,   16,       32.140,       38.300,        1.000,   0.137154E+06,   0.184348E+06, 
   82,   39,   16,       64.280,       76.600,        1.000,   0.913973E+05,   0.109313E+06, 
   82,   39,   16,      128.560,      153.200,        1.000,   0.569780E+05,   0.625636E+05, 
   82,   39,   16,        0.000,        0.000,        1.000,   0.272000E+06,   0.214072E+05, 
   82,   39,   17,     -128.560,     -153.200,        1.000,   0.251721E+04,   0.219088E+04, 
   82,   39,   17,      -64.280,      -76.600,        1.000,   0.552533E+04,   0.431548E+04, 
   82,   39,   17,      -32.140,      -38.300,        1.000,   0.113720E+05,   0.753641E+04, 
   82,   39,   17,       32.140,       38.300,        1.000,   0.139216E+06,   0.187199E+06, 
   82,   39,   17,       64.280,       76.600,        1.000,   0.927378E+05,   0.110943E+06, 
   82,   39,   17,      128.560,      153.200,        1.000,   0.578174E+05,   0.635457E+05, 
   82,   39,   17,        0.000,        0.000,        1.000,   0.276089E+06,   0.209964E+05, 
   82,   39,   18,     -128.560,     -153.200,        1.000,   0.230822E+04,   0.199145E+04, 
   82,   39,   18,      -64.280,      -76.600,        1.000,   0.516947E+04,   0.401945E+04, 
   82,   39,   18,      -32.140,      -38.300,        1.000,   0.107522E+05,   0.708320E+04, 
   82,   39,   18,       32.140,       38.300,        1.000,   0.129729E+06,   0.174408E+06, 
   82,   39,   18,       64.280,       76.600,        1.000,   0.864287E+05,   0.103359E+06, 
   82,   39,   18,      128.560,      153.200,        1.000,   0.538967E+05,   0.591671E+05, 
   82,   39,   18,        0.000,        0.000,        1.000,   0.257248E+06,   0.199948E+05, 
   82,   39,   19,     -128.560,     -153.200,        1.000,   0.292995E+04,   0.261737E+04, 
   82,   39,   19,      -64.280,      -76.600,        1.000,   0.668997E+04,   0.531495E+04, 
   82,   39,   19,      -32.140,      -38.300,        1.000,   0.146330E+05,   0.955905E+04, 
   82,   39,   19,       32.140,       38.300,        1.000,   0.177385E+06,   0.237590E+06, 
   82,   39,   19,       64.280,       76.600,        1.000,   0.118531E+06,   0.141662E+06, 
   82,   39,   19,      128.560,      153.200,        1.000,   0.741561E+05,   0.813746E+05, 
   82,   39,   19,        0.000,        0.000,        1.000,   0.348213E+06,   0.273616E+05, 
   82,   42,    6,     -128.560,     -153.200,        1.000,   0.107335E+06,   0.984196E+05, 
   82,   42,    6,      -64.280,      -76.600,        1.000,   0.176495E+06,   0.150458E+06, 
   82,   42,    6,      -32.140,      -38.300,        1.000,   0.288810E+06,   0.216884E+06, 
   82,   42,    6,       32.140,       38.300,        1.000,   0.121334E+05,   0.222473E+05, 
   82,   42,    6,       64.280,       76.600,        1.000,   0.632816E+04,   0.834370E+04, 
   82,   42,    6,      128.560,      153.200,        1.000,   0.310152E+04,   0.357293E+04, 
   82,   42,    6,        0.000,        0.000,        1.000,   0.519658E+06,   0.458936E+06, 
   82,   42,    7,     -128.560,     -153.200,        1.000,   0.465816E+05,   0.407257E+05, 
   82,   42,    7,      -64.280,      -76.600,        1.000,   0.956160E+05,   0.764823E+05, 
   82,   42,    7,      -32.140,      -38.300,        1.000,   0.186771E+06,   0.126878E+06, 
   82,   42,    7,       32.140,       38.300,        1.000,   0.820574E+04,   0.197038E+05, 
   82,   42,    7,       64.280,       76.600,        1.000,   0.329082E+04,   0.481998E+04, 
   82,   42,    7,      128.560,      153.200,        1.000,   0.130996E+04,   0.156368E+04, 
   82,   42,    7,        0.000,        0.000,        1.000,   0.563196E+06,   0.346694E+06, 
   82,   42,    8,     -128.560,     -153.200,        1.000,   0.844988E+04,   0.696180E+04, 
   82,   42,    8,      -64.280,      -76.600,        1.000,   0.242656E+05,   0.175182E+05, 
   82,   42,    8,      -32.140,      -38.300,        1.000,   0.623879E+05,   0.364034E+05, 
   82,   42,    8,       32.140,       38.300,        1.000,   0.314549E+05,   0.706979E+05, 
   82,   42,    8,       64.280,       76.600,        1.000,   0.122268E+05,   0.183689E+05, 
   82,   42,    8,      128.560,      153.200,        1.000,   0.408816E+04,   0.512457E+04, 
   82,   42,    8,        0.000,        0.000,        1.000,   0.670802E+06,   0.142771E+06, 
   82,   42,    9,     -128.560,     -153.200,        1.000,   0.766017E+04,   0.628448E+04, 
   82,   42,    9,      -64.280,      -76.600,        1.000,   0.224109E+05,   0.161008E+05, 
   82,   42,    9,      -32.140,      -38.300,        1.000,   0.585080E+05,   0.338215E+05, 
   82,   42,    9,       32.140,       38.300,        1.000,   0.403432E+05,   0.896458E+05, 
   82,   42,    9,       64.280,       76.600,        1.000,   0.158400E+05,   0.236960E+05, 
   82,   42,    9,      128.560,      153.200,        1.000,   0.538966E+04,   0.672633E+04, 
   82,   42,    9,        0.000,        0.000,        1.000,   0.773252E+06,   0.136717E+06, 
   82,   49,    6,     -128.560,     -153.200,        1.000,   0.942912E+05,   0.866797E+05, 
   82,   49,    6,      -64.280,      -76.600,        1.000,   0.154442E+06,   0.132014E+06, 
   82,   49,    6,      -32.140,      -38.300,        1.000,   0.244904E+06,   0.188367E+06, 
   82,   49,    6,       32.140,       38.300,        1.000,   0.133653E+05,   0.226268E+05, 
   82,   49,    6,       64.280,       76.600,        1.000,   0.702563E+04,   0.927523E+04, 
   82,   49,    6,      128.560,      153.200,        1.000,   0.342190E+04,   0.394660E+04, 
   82,   49,    6,        0.000,        0.000,        1.000,   0.949537E+05,   0.358165E+06, 
   82,   49,    7,     -128.560,     -153.200,        1.000,   0.478318E+05,   0.426878E+05, 
   82,   49,    7,      -64.280,      -76.600,        1.000,   0.924691E+05,   0.750578E+05, 
   82,   49,    7,      -32.140,      -38.300,        1.000,   0.170329E+06,   0.120290E+06, 
   82,   49,    7,       32.140,       38.300,        1.000,   0.651755E+04,   0.121379E+05, 
   82,   49,    7,       64.280,       76.600,        1.000,   0.301672E+04,   0.421283E+04, 
   82,   49,    7,      128.560,      153.200,        1.000,   0.127042E+04,   0.150799E+04, 
   82,   49,    7,        0.000,        0.000,        1.000,   0.642805E+05,   0.282052E+06, 
   82,   49,    8,     -128.560,     -153.200,        1.000,   0.359031E+05,   0.305585E+05, 
   82,   49,    8,      -64.280,      -76.600,        1.000,   0.871320E+05,   0.663477E+05, 
   82,   49,    8,      -32.140,      -38.300,        1.000,   0.186766E+06,   0.121706E+06, 
   82,   49,    8,       32.140,       38.300,        1.000,   0.143909E+05,   0.293634E+05, 
   82,   49,    8,       64.280,       76.600,        1.000,   0.583543E+04,   0.865221E+04, 
   82,   49,    8,      128.560,      153.200,        1.000,   0.204977E+04,   0.252983E+04, 
   82,   49,    8,        0.000,        0.000,        1.000,   0.204985E+06,   0.340609E+06, 
   82,   49,    9,     -128.560,     -153.200,        1.000,   0.407094E+05,   0.346488E+05, 
   82,   49,    9,      -64.280,      -76.600,        1.000,   0.988053E+05,   0.752339E+05, 
   82,   49,    9,      -32.140,      -38.300,        1.000,   0.211815E+06,   0.138018E+06, 
   82,   49,    9,       32.140,       38.300,        1.000,   0.163075E+05,   0.332795E+05, 
   82,   49,    9,       64.280,       76.600,        1.000,   0.661174E+04,   0.980372E+04, 
   82,   49,    9,      128.560,      153.200,        1.000,   0.232225E+04,   0.286618E+04, 
   82,   49,    9,        0.000,        0.000,        1.000,   0.232405E+06,   0.386363E+06, 
   82,   55,    6,     -128.560,     -153.200,        1.000,   0.781231E+05,   0.606973E+05, 
   82,   55,    6,      -64.280,      -76.600,        1.000,   0.224685E+06,   0.169524E+06, 
   82,   55,    6,      -32.140,      -38.300,        1.000,   0.452959E+06,   0.308239E+06, 
   82,   55,    6,       32.140,       38.300,        1.000,   0.251813E+06,   0.487212E+06, 
   82,   55,    6,       64.280,       76.600,        1.000,   0.101118E+06,   0.153682E+06, 
   82,   55,    6,      128.560,      153.200,        1.000,   0.251297E+05,   0.345828E+05, 
   82,   55,    6,        0.000,        0.000,        1.000,   0.254087E+07,   0.794374E+06, 
   82,   55,    7,     -128.560,     -153.200,        1.000,   0.714751E+05,   0.624743E+05, 
   82,   55,    7,      -64.280,      -76.600,        1.000,   0.148560E+06,   0.118084E+06, 
   82,   55,    7,      -32.140,      -38.300,        1.000,   0.295327E+06,   0.198806E+06, 
   82,   55,    7,       32.140,       38.300,        1.000,   0.710960E+05,   0.164144E+06, 
   82,   55,    7,       64.280,       76.600,        1.000,   0.249447E+05,   0.397029E+05, 
   82,   55,    7,      128.560,      153.200,        1.000,   0.649813E+04,   0.859810E+04, 
   82,   55,    7,        0.000,        0.000,        1.000,   0.161770E+07,   0.551825E+06, 
   82,   55,    8,     -128.560,     -153.200,        1.000,   0.115483E+05,   0.956737E+04, 
   82,   55,    8,      -64.280,      -76.600,        1.000,   0.323778E+05,   0.235326E+05, 
   82,   55,    8,      -32.140,      -38.300,        1.000,   0.813806E+05,   0.481194E+05, 
   82,   55,    8,       32.140,       38.300,        1.000,   0.271792E+05,   0.616040E+05, 
   82,   55,    8,       64.280,       76.600,        1.000,   0.104670E+05,   0.157964E+05, 
   82,   55,    8,      128.560,      153.200,        1.000,   0.343406E+04,   0.432334E+04, 
   82,   55,    8,        0.000,        0.000,        1.000,   0.657483E+06,   0.180546E+06, 
   82,   55,    9,     -128.560,     -153.200,        1.000,   0.434901E+04,   0.354138E+04, 
   82,   55,    9,      -64.280,      -76.600,        1.000,   0.131103E+05,   0.934810E+04, 
   82,   55,    9,      -32.140,      -38.300,        1.000,   0.350015E+05,   0.199693E+05, 
   82,   55,    9,       32.140,       38.300,        1.000,   0.408997E+05,   0.885690E+05, 
   82,   55,    9,       64.280,       76.600,        1.000,   0.163985E+05,   0.243116E+05, 
   82,   55,    9,      128.560,      153.200,        1.000,   0.574998E+04,   0.712276E+04, 
   82,   55,    9,        0.000,        0.000,        1.000,   0.655970E+06,   0.842971E+05, 
   82,   56,    6,     -128.560,     -153.200,        1.000,   0.122441E+06,   0.112846E+06, 
   82,   56,    6,      -64.280,      -76.600,        1.000,   0.198653E+06,   0.170084E+06, 
   82,   56,    6,      -32.140,      -38.300,        1.000,   0.317459E+06,   0.242348E+06, 
   82,   56,    6,       32.140,       38.300,        1.000,   0.154215E+05,   0.257843E+05, 
   82,   56,    6,       64.280,       76.600,        1.000,   0.824374E+04,   0.108034E+05, 
   82,   56,    6,      128.560,      153.200,        1.000,   0.408807E+04,   0.469574E+04, 
   82,   56,    6,        0.000,        0.000,        1.000,   0.207633E+06,   0.480243E+06, 
   82,   56,    7,     -128.560,     -153.200,        1.000,   0.112901E+06,   0.104058E+06, 
